2,32,abate
2,71,aberrant
2,23,abeyance
1,7,abscond
1,6,abstemious
2,19,admonish
1,4,adulterate
4,444,aesthetic
3,341,aggregate
2,22,alacrity
3,192,alleviate
2,18,amalgamate
3,385,ambiguous
3,188,ambivalence
2,82,ameliorate
2,43,anachronism
3,310,analogous
3,105,anarchy
3,104,anomalous
3,76,antipathy
3,93,apathy
2,63,appease
1,5,apprise
2,48,approbation
5,2038,appropriate
3,93,arduous
2,11,artless
3,62,ascetic
2,27,assiduous
2,42,assuage
2,32,attenuate
2,43,audacious
3,71,austere
2,12,aver
3,72,banal
2,29,belie
2,36,beneficent
3,115,bolster
2,14,bombastic
2,12,boorish
1,2,burgeon
1,4,burnish
2,48,buttress
1,7,cacophonous
2,54,capricious
2,10,castigation
3,179,catalyst
2,37,caustic
2,10,chicanery
1,8,coagulate
2,31,coda
2,65,cogent
3,101,commensurate
2,57,compendium
1,4,complaisant
3,125,compliant
2,57,conciliatory
2,42,condone
2,62,confound
2,21,connoisseur
3,255,contention
3,222,contentious
2,11,contrite
2,78,conundrum
3,175,converge
2,66,convoluted
2,11,craven
1,4,daunt
2,44,decorum
3,350,default
3,124,deference
3,102,delineate
2,36,denigrate
2,15,deride
3,219,derivative
1,3,desiccate
2,20,desultory
3,109,deterrent
2,22,diatribe
3,211,dichotomy
2,18,diffidence
3,248,diffuse
2,35,digression
2,8,dirge
2,9,disabuse
3,92,discerning
2,55,discordant
3,85,discredit
3,195,discrepancy
3,354,discrete
2,50,disingenuous
3,102,disinterested
2,43,disjointed
3,228,dismiss
2,27,disparage
3,220,disparate
2,9,dissemble
3,103,disseminate
3,211,dissolution
2,76,dissonance
1,6,distend
-1,-1,distill
3,107,diverge
2,35,divest
4,739,document
3,101,dogmatic
3,101,dormant
2,18,dupe
2,12,ebullient
3,115,eclectic
4,460,efficacy
2,8,effrontery
2,30,elegy
3,216,elicit
2,28,embellish
4,926,empirical
3,122,emulate
3,174,endemic
1,3,enervate
3,121,engender
4,604,enhance
3,103,ephemeral
2,29,equanimity
1,4,equivocate
2,37,erudite
3,99,esoteric
2,28,eulogy
2,42,euphemism
3,127,exacerbate
1,4,exculpate
2,13,exigency
2,51,extrapolation
2,13,facetious
4,635,facilitate
2,38,fallacious
2,11,fatuous
2,15,fawning
2,28,felicitous
-1,-1,fervor
3,233,flag
2,66,fledgling
2,18,flout
2,22,foment
2,58,forestall
2,34,frugality
3,149,futile
1,7,gainsay
2,12,garrulous
2,15,goad
2,10,gouge
2,7,grandiloquent
2,25,gregarious
2,7,guileless
2,32,gullible
2,12,harangue
2,104,homogenous
2,40,hyperbole
1,6,iconoclast
2,51,idolatry
3,89,immutable
3,102,impair
2,14,impassive
3,152,impede
2,40,impermeable
2,7,imperturbable
2,60,impervious
2,41,implacable
4,522,implicit
1,8,implode
2,56,inadvertently
2,43,inchoate
2,39,incongruity
2,60,inconsequential
4,440,incorporate
3,132,indeterminate
1,8,indigence
2,31,indolent
3,95,inert
2,15,ingenuous
4,612,inherent
3,83,innocuous
2,28,insensible
2,18,insinuate
2,18,insipid
2,61,insularity
3,129,intractable
2,41,intransigence
1,6,inundate
-1,-1,inured
2,25,invective
2,14,irascible
2,7,irresolute
2,45,itinerary
2,23,laconic
2,13,lassitude
3,213,latent
2,12,laud
2,27,lethargic
2,11,levee
2,14,levity
3,267,log
2,10,loquacious
3,72,lucid
3,57,luminous
2,20,magnanimity
1,1,malingerer
2,70,malleable
2,31,maverick
2,9,mendacious
2,58,metamorphosis
3,100,meticulous
1,3,misanthrope
3,172,mitigate
2,14,mollify
2,14,morose
3,178,mundane
3,88,negate
2,9,neophyte
2,19,obdurate
2,11,obsequious
2,43,obviate
2,18,occlude
2,10,officious
3,87,onerous
-1,-1,opprobium
2,35,oscillate
2,39,ostentatious
2,22,paragon
3,145,partisan
3,198,pathological
3,109,paucity
2,32,pedantic
2,61,penchant
2,15,penury
3,117,perennial
2,13,perfidious
2,32,perfunctory
2,76,permeable
3,312,pervasive
2,10,phlegmatic
3,137,piety
2,43,placate
2,112,plasticity
2,12,platitude
3,146,plethora
2,18,plummet
3,102,porous
3,357,pragmatic
2,71,preamble
3,166,precarious
3,103,precipitate
3,204,precursor
2,33,presumptuous
1,2,prevaricate
3,76,pristine
2,36,probity
4,643,problematic
2,21,prodigal
4,557,profound
2,65,prohibitive
2,64,proliferate
3,220,propensity
2,5,propitiate
3,99,propriety
2,18,proscribe
2,33,pungent
4,421,qualified
2,19,quibble
2,32,quiescent
2,22,rarefied
2,68,recalcitrant
2,10,recant
2,12,recluse
2,11,recondite
3,68,refractory
3,116,refute
2,31,relegate
3,75,reproach
2,8,reprobate
2,47,repudiate
2,17,rescind
4,802,resolution
4,539,resolve
2,54,reticent
2,22,reverent
3,90,sage
2,14,salubrious
3,185,sanction
1,6,satiate
2,22,saturate
2,12,savor
2,45,secrete
1,6,shard
2,29,skeptic
-1,-1,solicious
2,8,soporific
2,36,specious
4,589,spectrum
3,119,sporadic
3,179,stigma
2,39,stint
2,70,stipulate
2,11,stolid
2,20,striated
2,22,strut
2,22,strut
2,11,subpoena
2,39,subside
3,83,substantiate
2,54,supersede
3,99,supposition
3,199,tacit
2,52,tangential
3,116,tenuous
2,21,tirade
2,16,torpor
2,54,tortuous
2,37,tractable
3,105,transgression
2,8,truculence
2,10,vacillate
2,16,venerate
1,3,veracious
2,13,verbose
3,393,viable
2,57,viscous
2,10,vituperative
3,213,volatile
3,158,warranted
3,188,wary
2,23,welter
2,32,whimsical
2,9,zealot
